,Views_7_days,Country,Price_EUR,Year_Built
1,75,Germany,3490.0,2020
4,58,Germany,3399.0,2019
10,239,Switzerland,3431.372549019608,1987
12,69,Italy,3500.0,2004
13,113,Switzerland,4509.803921568628,2020
14,413,Switzerland,4411.764705882353,1997
18,265,France,4000.0,1981
20,69,Germany,3999.0,2019
22,90,Germany,3930.0,2020
23,98,Germany,3900.0,1979
25,160,Switzerland,4117.64705882353,1998
27,130,Switzerland,3950.9803921568628,2018
29,512,Switzerland,3897.0588235294117,2020
30,202,Switzerland,3872.549019607843,1996
34,255,Switzerland,3725.4901960784314,1996
35,1804,Switzerland,3725.4901960784314,1980
36,849,Switzerland,3725.4901960784314,1974
38,133,Germany,3500.0,1983
43,186,Germany,5500.0,2018
44,118,Spain,5500.0,1997
45,74,Italy,5500.0,1961
46,543,Switzerland,5784.313725490196,1980
49,67,Germany,5399.0,2018
53,141,Germany,5200.0,2020
54,278,Switzerland,5392.156862745098,1968
55,99,Switzerland,5392.156862745098,2020
57,1201,Switzerland,7058.823529411765,1987
59,277,Germany,6590.0,1972
60,85,Italy,6500.0,1990
61,122,Germany,6500.0,2018
62,183,Italy,6500.0,2010
63,289,Germany,6500.0,1968
64,324,Austria,6500.0,1991
66,126,Germany,6490.0,1994
67,238,Switzerland,6862.745098039216,2018
68,866,Switzerland,6862.745098039216,1980
69,574,Switzerland,6862.745098039216,2000
71,205,Switzerland,8137.254901960784,1986
74,200,Germany,7640.0,1985
75,462,Switzerland,7995.098039215686,2020
76,201,Germany,7500.0,1996
79,137,Austria,7500.0,1971
80,208,France,7500.0,1994
81,189,France,7500.0,1981
82,131,France,7500.0,2005
83,490,Germany,7500.0,1995
86,280,Switzerland,9215.686274509804,1976
89,873,Switzerland,9083.333333333334,2020
90,258,Switzerland,9019.607843137255,1990
94,165,Italy,8500.0,2018
95,78,France,8500.0,1994
96,116,France,8500.0,2006
97,250,Germany,8500.0,2016
101,183,Netherlands,9750.0,1980
102,465,Switzerland,10294.117647058823,2011
106,418,Switzerland,10196.078431372549,1984
107,185,Germany,9599.0,1992
108,64,Germany,9575.0,2016
110,91,Netherlands,9553.0,2019
111,138,Netherlands,9500.0,1964
112,184,Italy,9500.0,2019
113,162,Germany,9500.0,1985
116,256,Switzerland,10784.313725490196,1991
117,230,Switzerland,10784.313725490196,2006
118,182,Switzerland,10784.313725490196,2006
120,115,Germany,10115.0,2020
121,159,Switzerland,10686.274509803921,2020
123,585,Italy,10000.0,1993
124,185,Italy,10000.0,1979
127,182,Italy,10000.0,1975
128,900,Germany,10000.0,1940
129,783,Italy,10000.0,1991
130,175,France,10000.0,1995
131,207,France,10000.0,1995
132,284,Italy,11000.0,1988
133,125,Germany,11000.0,1974
134,229,Italy,11000.0,1997
135,226,France,11000.0,1996
136,87,France,11000.0,1971
138,175,Italy,11000.0,1998
139,173,Italy,11000.0,1992
140,422,Spain,11000.0,2000
141,243,Germany,11000.0,1986
142,254,Netherlands,11000.0,1987
143,150,Germany,10999.0,2020
144,255,Germany,10999.0,2020
145,179,Germany,10999.0,2020
146,169,Germany,10990.0,2003
147,136,Germany,10990.0,1977
148,141,France,12000.0,1993
149,442,Serbia,12000.0,1990
151,327,Germany,12000.0,1979
152,188,Italy,12000.0,1988
153,1101,Germany,12000.0,1978
156,141,France,11990.0,2005
157,284,Switzerland,12696.078431372549,2019
160,273,Switzerland,12647.05882352941,2020
161,365,Switzerland,12647.05882352941,2019
165,180,Germany,12770.0,2020
170,147,Italy,12500.0,2019
172,235,Germany,12500.0,1913
173,452,Italy,12500.0,1994
174,165,Netherlands,12500.0,1983
178,436,Switzerland,14509.803921568628,1984
179,35,Slovak Republic,13690.0,2014
180,212,Switzerland,14411.764705882353,2018
183,121,Italy,13500.0,1998
185,110,France,13500.0,1999
186,83,Netherlands,13500.0,1995
187,264,Spain,13500.0,1996
188,109,Italy,13500.0,2002
189,132,Croatia (Hrvatska),13500.0,1990
190,81,France,13500.0,2014
191,262,France,13500.0,2006
193,186,Portugal,14500.0,1998
195,292,Switzerland,15294.117647058823,2020
197,119,Germany,14366.0,2018
198,151,Switzerland,15196.078431372549,2006
201,285,Switzerland,14200.0,2019
202,281,Italy,14000.0,1997
204,132,Italy,14000.0,1990
206,118,Croatia (Hrvatska),14000.0,2008
209,156,Germany,14900.0,2014
210,111,Croatia (Hrvatska),14900.0,1983
211,87,Italy,14900.0,2020
212,70,Germany,14900.0,2019
214,356,Italy,14900.0,1980
215,198,Germany,14900.0,1984
216,68,France,14900.0,2017
219,80,Switzerland,14900.0,2020
221,180,Germany,14900.0,2002
222,145,Germany,15500.0,1995
225,125,Austria,15500.0,1979
226,236,Austria,15500.0,1993
227,253,Netherlands,15500.0,1976
228,311,Germany,15500.0,1979
229,219,Germany,15499.0,2020
230,71,Slovak Republic,15490.0,2017
231,56,Germany,15446.0,2020
233,116,Italy,15400.0,2019
238,341,Switzerland,17337.254901960783,2020
240,201,Switzerland,17156.86274509804,1992
242,99,Germany,16220.0,2020
245,60,Germany,16190.0,2019
246,387,Switzerland,17156.86274509804,1995
247,399,Switzerland,17058.823529411766,2020
248,149,Switzerland,17058.823529411766,2019
250,141,Croatia (Hrvatska),16000.0,1998
251,53,Montenegro,16900.0,2017
252,154,Germany,16900.0,1992
254,107,Italy,16900.0,2019
255,405,Germany,16900.0,1985
256,62,France,16900.0,2005
257,98,France,16900.0,2005
258,152,Spain,16900.0,2003
260,172,Rovinij,16900.0,1995
261,339,Switzerland,17901.960784313724,2019
262,127,Germany,16870.0,2020
263,247,Switzerland,17852.941176470587,2020
264,241,Switzerland,17843.13725490196,2020
265,331,Switzerland,17843.13725490196,1997
267,144,France,17500.0,2005
270,192,Portugal,17500.0,2010
272,149,Netherlands,17500.0,1984
273,164,Germany,17490.0,1984
274,162,Germany,17490.0,1977
275,215,Switzerland,18529.41176470588,2019
278,335,Switzerland,18529.41176470588,2001
279,686,Switzerland,18529.41176470588,1990
280,1028,Switzerland,19117.647058823528,1998
286,375,Portugal,18000.0,1990
287,333,Italy,18000.0,2003
288,129,Spain,18000.0,1993
289,211,Spain,18000.0,2004
291,334,Italy,18000.0,1993
292,119,Spain,18000.0,2009
296,110,France,18800.0,2015
297,149,Germany,18750.0,2020
299,254,Germany,18700.0,1990
300,324,Switzerland,18690.0,2020
301,220,Switzerland,19607.843137254902,1991
302,540,Switzerland,19598.039215686273,2008
303,339,Switzerland,19598.039215686273,1991
306,185,Switzerland,19705.882352941175,2020
307,401,Switzerland,19509.803921568626,2020
308,2026,Switzerland,19509.803921568626,1993
310,145,Germany,18515.0,2020
311,118,Netherlands,19500.0,1981
312,101,Netherlands,19500.0,1975
313,78,Netherlands,19500.0,2005
314,273,Germany,19500.0,2010
315,778,Steinwiesen,19500.0,1996
316,261,Germany,19490.0,2003
317,163,Switzerland,20588.235294117647,2014
319,183,Switzerland,20539.21568627451,2018
321,117,Germany,19300.0,2020
322,235,Switzerland,20392.156862745098,2020
323,217,Italy,19900.0,2019
324,121,Germany,19900.0,2018
326,314,Germany,19900.0,1976
327,122,Netherlands,19900.0,1997
328,165,France,19900.0,1995
329,375,Germany,19900.0,1996
331,80,Germany,19900.0,1994
333,89,France,19900.0,2002
334,97,France,19900.0,2006
335,280,Germany,19900.0,1984
336,206,Germany,19900.0,1970
337,159,Germany,19900.0,2017
338,157,Belgium,19900.0,1969
339,153,Germany,20499.0,2020
340,115,Germany,20490.0,2018
341,118,Switzerland,21676.470588235294,2020
342,537,Switzerland,21568.62745098039,1989
343,176,Switzerland,21568.62745098039,1992
344,415,Switzerland,21568.62745098039,1993
345,593,Switzerland,21568.62745098039,1978
346,527,Switzerland,21568.62745098039,2001
347,265,Switzerland,21568.62745098039,1993
